Longitude,Latitude,Zone
79.214833,30.271389,risk
79.215472,30.272444,risk
79.216278,30.273444,risk
79.216472,30.280722,risk
79.444833,30.226278,risk
79.448538,30.230843,risk
79.441143,30.236533,risk
79.399917,30.242444,risk
79.40025,30.243806,risk
79.403494,30.243977,risk
79.400278,30.244278,risk
79.401708,30.248146,risk
79.402567,30.248574,risk
79.42975,30.269056,risk
79.395891,30.279362,risk
79.380889,30.293417,risk
79.323667,30.295333,risk
79.322059,30.295571,risk
79.325443,30.310022,risk
79.320048,30.356066,risk
79.413495,30.386355,risk
79.325556,30.395194,risk
79.397222,30.400278,risk
79.385444,30.40725,risk
79.390083,30.411389,risk
79.374306,30.432861,risk
79.429504,30.448397,risk
79.428917,30.450806,risk
79.429751,30.454857,risk
79.430642,30.458365,risk
79.457206,30.465065,risk
79.452028,30.466,risk
79.459111,30.471778,risk
79.458944,30.474222,risk
79.459305,30.474693,risk
79.48275,30.210809,risk
79.4678,30.21646,risk
79.464015,30.217937,risk
79.464234,30.225343,risk
79.618879,30.268903,risk
79.605988,30.273956,risk
79.605416,30.27407,risk
79.562904,30.274115,risk
79.575409,30.276946,risk
79.575787,30.278021,risk
79.543796,30.278384,risk
79.598229,30.280461,risk
79.50303,30.281306,risk
79.504224,30.282443,risk
79.597798,30.283844,risk
79.475815,30.363835,risk
79.478934,30.36478,risk
79.465683,30.366426,risk
79.526595,30.372372,risk
79.501497,30.37322,risk
79.502274,30.375886,risk
79.503848,30.376799,risk
79.502124,30.46787,risk
79.51272,30.470676,risk
79.512119,30.471929,risk
79.459348,30.472105,risk
79.511488,30.473095,risk
79.479722,30.473167,risk
79.459753,30.473279,risk
79.504369,30.474216,risk
79.499944,30.47524,risk
79.161057,30.184498,risk
79.199694,30.209,risk
79.130861,30.254083,risk
79.160222,30.260222,risk
79.159361,30.261611,risk
79.157194,30.263583,risk
79.149139,30.265222,risk
79.153,30.266056,risk
79.19175,30.266722,risk
79.176,30.266667,risk
79.17155,30.266769,risk
79.180222,30.267306,risk
79.188668,30.267551,risk
79.150111,30.267306,risk
79.182917,30.26825,risk
79.158278,30.2695,risk
79.16643,30.273643,risk
79.1655,30.277028,risk
79.162917,30.2775,risk
79.166464,30.278175,risk
79.165071,30.278169,risk
79.165917,30.279167,risk
79.144222,30.283528,risk
79.153472,30.283722,risk
79.199056,30.28475,risk
79.138611,30.284472,risk
79.200444,30.285389,risk
79.166111,30.284972,risk
79.196194,30.285722,risk
79.131163,30.284885,risk
79.141639,30.285222,risk
79.319942,30.159301,risk
79.281929,30.164452,risk
79.260463,30.165964,risk
79.287903,30.174248,risk
79.253461,30.180387,risk
79.221611,30.180611,risk
79.256694,30.187944,risk
79.309556,30.193722,risk
79.301949,30.195477,risk
79.304865,30.197338,risk
79.310819,30.199207,risk
79.278722,30.200111,risk
79.241056,30.208944,risk
79.274917,30.215194,risk
79.25258,30.22082,risk
79.253315,30.222338,risk
79.272361,30.223972,risk
79.257028,30.225083,risk
79.298991,30.226901,risk
79.267228,30.231295,risk
79.228278,30.250972,risk
79.214928,30.251451,risk
79.216472,30.254417,risk
79.218167,30.255889,risk
79.213806,30.2625,risk
79.214861,30.262583,risk
79.213708,30.263533,risk
79.218,30.266972,risk
79.224889,30.268694,risk
79.216528,30.270806,risk
79.220167,30.271167,risk
79.114167,30.284722,risk
79.616846,30.125424,risk
79.61787,30.125504,risk
79.724091,30.1269,risk
79.51638,30.127149,risk
79.722087,30.130425,risk
79.520806,30.128472,risk
79.619928,30.131438,risk
79.71915,30.133156,risk
79.601278,30.133833,risk
79.619528,30.134056,risk
79.71699,30.135708,risk
79.620715,30.134815,risk
79.62075,30.134972,risk
79.62025,30.135333,risk
79.715944,30.137111,risk
79.715782,30.137356,risk
79.715557,30.137588,risk
79.714,30.138667,risk
79.713708,30.139154,risk
79.617579,30.138602,risk
79.617747,30.138901,risk
79.724778,30.149139,risk
79.495386,30.151742,risk
79.701919,30.154455,risk
79.620128,30.161389,risk
79.710417,30.164056,risk
79.464028,30.20075,risk
79.465167,30.202167,risk
79.481492,30.210743,risk
79.381445,30.122664,risk
79.383163,30.125818,risk
79.364244,30.131826,risk
79.371028,30.132222,risk
79.434579,30.138845,risk
79.428861,30.140018,risk
79.426447,30.14133,risk
79.457889,30.142917,risk
79.429838,30.143062,risk
79.429579,30.143818,risk
79.373874,30.143473,risk
79.428388,30.144318,risk
79.43004,30.145589,risk
79.369848,30.156356,risk
79.367682,30.162098,risk
79.380278,30.173278,risk
79.352931,30.174541,risk
79.385778,30.178139,risk
79.329739,30.17828,risk
79.330139,30.178611,risk
79.379642,30.180264,risk
79.380843,30.186177,risk
79.379928,30.196372,risk
79.333374,30.20048,risk
79.368203,30.203784,risk
79.459201,30.205485,risk
79.381302,30.210774,risk
79.377048,30.215515,risk
79.450117,30.21734,risk
79.463079,30.225374,risk
79.461856,30.226462,risk
79.631319,30.097044,risk
79.667123,30.098125,risk
79.617947,30.098031,risk
79.666098,30.098659,risk
79.665417,30.098694,risk
79.615917,30.098389,risk
79.687764,30.099475,risk
79.688771,30.099635,risk
79.675323,30.100807,risk
79.610048,30.100209,risk
79.680396,30.107224,risk
79.68101,30.109258,risk
79.613806,30.111806,risk
79.681781,30.113841,risk
79.611446,30.114104,risk
79.682818,30.116589,risk
79.700945,30.120698,risk
79.701182,30.121188,risk
79.698191,30.121518,risk
79.717596,30.121757,risk
79.699269,30.121671,risk
79.701819,30.121877,risk
79.702466,30.122162,risk
79.611722,30.121528,risk
79.702884,30.122525,risk
79.728063,30.123504,risk
79.608889,30.122306,risk
79.724174,30.124204,risk
79.6182,30.124645,risk
79.616966,30.125109,risk
79.724059,30.126283,risk
79.548333,30.041499,risk
79.572254,30.044957,risk
79.604978,30.045431,risk
79.573925,30.046987,risk
79.576505,30.054695,risk
79.588933,30.05549,risk
79.595,30.056194,risk
79.591035,30.067029,risk
79.587253,30.069209,risk
79.6035,30.071222,risk
79.603417,30.071417,risk
79.604306,30.0715,risk
79.603861,30.071639,risk
79.546712,30.071912,risk
79.597278,30.073033,risk
79.585389,30.074917,risk
79.583028,30.075333,risk
79.584,30.077111,risk
79.599136,30.081101,risk
79.606306,30.082583,risk
79.607408,30.082869,risk
79.60325,30.085028,risk
79.600306,30.08975,risk
79.597634,30.094183,risk
79.607543,30.100496,risk
79.602512,30.104249,risk
79.605778,30.107694,risk
79.605975,30.107942,risk
79.605194,30.113056,risk
79.607463,30.113614,risk
79.607444,30.1245,risk
79.522528,30.084222,risk
79.523083,30.058333,risk
79.523014,30.076434,risk
79.523611,30.05875,risk
79.523811,30.057995,risk
79.524498,30.027649,risk
79.524083,30.058194,risk
79.524276,30.058004,risk
79.524361,30.061861,risk
79.524562,30.05775,risk
79.526333,30.065111,risk
79.526222,30.090722,risk
79.526778,30.064556,risk
79.526583,30.09575,risk
79.527528,30.064944,risk
79.529333,30.093528,risk
79.529833,30.064194,risk
79.530003,30.078205,risk
79.532731,30.064741,risk
79.534533,30.064325,risk
79.534667,30.064639,risk
79.535083,30.061972,risk
79.536278,30.061556,risk
79.539667,30.062472,risk
79.542602,30.075117,risk
79.545233,30.039731,risk
79.545166,30.068496,risk
79.545252,30.069578,risk
79.54575,30.071139,risk
79.545783,30.072811,risk
79.54612,30.07868,risk
79.445041,29.982199,risk
79.444218,30.098021,risk
79.449456,30.094466,risk
79.449858,30.095482,risk
79.451012,30.094921,risk
79.451444,30.092028,risk
79.453562,29.9961,risk
79.461084,29.994459,risk
79.470194,30.085667,risk
79.470417,30.085722,risk
79.472583,30.086611,risk
